artist,play_count
Opeth,668
Between the Buried and Me,186
King Gizzard & The Lizard Wizard,165
Lucifer,154
Gojira,139
Electric Citizen,132
Blood Ceremony,123
Amy Winehouse,109
Queens of the Stone Age,103
Skeletonwitch,100
Mastodon,98
Ghost,88
Death,86
Frozen Crown,82
Avenged Sevenfold,78
Death from Above 1979,73
The Oath,67
Animals as Leaders,63
Rush,61
David Maxim Micic,52
Crisix,51
Baroness,48
Childish Gambino,46
Nightwish,44
Coven,39
CHON,39
Ne Obliviscaris,37
Intronaut,37
Tame Impala,37
Jess and the Ancient Ones,36
Devin Townsend Project,35
Plini,34
Satan,33
TesseracT,33
Destiny Potato,33
Mount Salem,33
Hans Zimmer,32
Windir,31
MCC [Magna Carta Cartel],31
Night Viper,31
Ongkara,30
Moon Tooth,30
Kendrick Lamar,28
Devin Townsend,27
Cynic,27
Tiger Army,26
Temperance,26
Chimp Spanner,26
Brand New,25
Pink Floyd,24
Daft Punk,23
Dethklok,23
Middle Class Rut,23
Psychedelic Witchcraft,23
Kyuss,22
Prototype,22
Jinjer,22
Lady Gaga,22
Subvision,21
Red Hot Chili Peppers,20
Creedence Clearwater Revival,20
The Mars Volta,20
Behemoth,20
White Stones,20
The Necromancers,20
Carpenter Brut,20
Lacuna Coil,19
First Signs Of Frost,19
Year of the Goat,19
Black Sabbath,18
My Chemical Romance,18
Witchcraft,18
The Shins,18
Doomriders,18
Emptyself,18
Obscura,18
At the Gates,17
Grizzly Bear,17
Orne,17
Dance Gavin Dance,17
Means End,17
Sublime,16
Ennio Morricone,16
Agatus,16
Vektor,16
Pallbearer,16
Chthe'ilist,16
Tool,15
Lenny Kravitz,15
Fleetwood Mac,15
A Perfect Circle,15
Cire,15
Broken Bells,15
"Tyler, The Creator",15
Art By Numbers,15
Mestís,15
Nirvana,14
The White Stripes,14
Weezer,14
Marilyn Manson,14
System of a Down,14
Incubus,14
Mötley Crüe,14
London Philharmonic Orchestra,14
Steven Wilson,14
Soen,14
Disperse,14
Demob Happy,14
Lana Del Rey,14
Kiss,13
311,13
blink-182,13
Misfits,13
ABBA,13
Circa Survive,13
The Weeknd,13
Oceans of Slumber,13
Sianvar,13
Luciferian Light Orchestra,13
The Doors,12
Van Halen,12
Britney Spears,12
Dream Theater,12
Chevelle,12
Ramones,12
Marcy Playground,12
Manilla Road,12
The Black Keys,12
The Faceless,12
Power Glove,12
Real Estate,12
Nine Inch Nails,11
Electric Wizard,11
Audioslave,11
Guns N' Roses,11
Slipknot,11
Fu Manchu,11
Bathory,11
The Devin Townsend Band,11
Desert Sessions,11
Ged Grimes,11
Rihanna,11
In This Moment,11
Angel Vivaldi,11
CRX,11
Artifex Pereo,11
Them Crooked Vultures,11
Pomegranate Tiger,11
Purity Ring,11
David Bowie,10
Queen,10
Led Zeppelin,10
The Beatles,10
Strapping Young Lad,10
Heart,10
Mondo Generator,10
Drake,10
High on Fire,10
Kings of Leon,10
Deathspell Omega,10
Merrow,10
Tribulation,10
The Dear Hunter,10
Red Fang,10
Cage the Elephant,10
Alabama Shakes,10
Polyphia,10
The Rolling Stones,9
Soundgarden,9
Tom Waits,9
Linkin Park,9
Slayer,9
Rammstein,9
The Runaways,9
Suicidal Tendencies,9
Porcupine Tree,9
Meshuggah,9
Evanescence,9
Metric,9
Victoria,9
Alarum,9
The Hillbilly Moon Explosion,9
Mgła,9
Vampire Weekend,9
Die Antwoord,9
Outrun The Sunlight,9
Eminem,8
Supergrass,8
Madonna,8
Santana,8
Pearl Jam,8
Foo Fighters,8
Bon Jovi,8
Justin Timberlake,8
DGM,8
Indukti,8
Katy Perry,8
Intervals,8
Vasudeva,8
The Safety Fire,8
